Link,Name,School,Location,Language of instruction,Standard length of studies,Degree,Area of Focus,Tuition fees,Admission requirements (Germany),Admission requirements (Link),Admission Mode,Admission Semester,Lecture Period,Website,International Office (AAA),AAA Mail,AAA Link
https://tinyurl.com/y7kw22b9,International Business and Economics,University of Hohenheim,Stuttgart-Hohenheim,English,4 semesters,Master's degree (Master of Science),,,APPLICATION: Application deadline: 15.06. winter semester; 50 places. The final certificate of the first degree must be submitted by 31.12. SELECTION CRITERIA: *Grade of the degree *Subject-specific performance *Other aptitude for the subject *Grade in higher education entrance qualification *Practical activities *Motivation report. See the admission regulations for additional information.,https://tinyurl.com/ybynnr4q,selection by the HEI,Winter Semester only,15.10.2018 - 02.02.2019 Non-lecture days: Tue 31.10.2017 (Reformation Day across Germany) Wed 01.11.2017 (All Saints' Day) Sun 24.12.2017 to Sat 06.01.2018 (Christmas holidays),https://tinyurl.com/ycph6z4y,Akademisches Auslandsamt Schloss Hohenheim Kolleggangflügel 70599 Stuttgart Tel.: 0711 459-22019 Fax: 0711 459-23723,aaa@uni-hohenheim.de,https://tinyurl.com/ya2ybpyh
https://tinyurl.com/y9nfyfso,International Economics,Eberhard Karls University Tübingen,Tübingen,English,4 semesters,Master (Master of Science),,https://tinyurl.com/y9v4ukpc,Deviating application deadline for the first specialisation semester: already on 15.05.,https://tinyurl.com/y87t4fco,selection by the HEI,Winter Semester only,15.10.2018 - 09.02.2019,https://tinyurl.com/yadxhgj8,Internationale Angelegenheiten Wilhelmstr. 9 72074 Tübingen Tel.: 07071 29-72938 Fax: 07071 29-5404,wolfgang.mekle@uni-tuebingen.de,https://tinyurl.com/y7nh6xb3
https://tinyurl.com/y8oputyu,International Economics & Public Policy,University of Trier,Trier,English,4 semesters,Master's (single-subject) (Master of Arts),,28105 EUR per semester,Section 2 of the General Examination Regulation; BA in Politics and Economics with a minimum grade of 2.7,,open admission,Summer and Winter Semester,22.10.2018 - 09.02.2019,https://tinyurl.com/y8fsgz3r,Akademisches Auslandsamt Universitätsring 15 54296 Trier Tel.: 0651 201-2806 Fax: 0651 201-3914,aaa@uni-trier.de,https://tinyurl.com/ydgf3vrq
https://tinyurl.com/y6u38ah9,International Economics and Economic Policy,Frankfurt University,Frankfurt am Main,English,4 semesters,Master of Science (Master of Science),,,,,selection by the HEI,Winter Semester only,15.10.2018 - 15.02.2019,https://tinyurl.com/y9mdzhzz,International Office Grüneburgplatz 1 60323 Frankfurt Tel.: 069 798-3838,international@uni-frankfurt.de,https://tinyurl.com/y7cpzm5a
https://tinyurl.com/yan7dcoq,International Economics and Public Policy,Mainz University,Mainz,English,4 semesters,Master (Master of Science),,,1. Proof of a Bachelor's degree in the subject of economics with a standard period of study of at least six semesters or an equivalent degree in a related subject from a university in Germany or abroad. 2. Proof of English language requirements. This can be provided by presenting a certificate demonstrating the completion of a Test of English as a Foreign Language (TOEFL) which was taken no longer than three years before the deadline for application with a score of at least 227 (computer-based test CBT) 87 (internet-based test IBT) 567 (paper-based test PBT) or alternatively the IELTS (which may also not have been taken more than three years before application) with a score of at least 5 or alternatively a certificate demonstrating the completion of the Cambridge First Certificate (FCE) which was taken no longer than three years before the deadline for application. If one of the above-mentioned certificates demonstrating completion of a language test is not available at the time of application admission may be granted on condition that the certificate together with the test result are submitted by the end of the first semester of studies at the latest. If the proof is not submitted within the deadline or if the test results do not meet the requirements according to No. 2 section 2 admission will be refused. If the degree under No. 2 (or a degree proven to be of higher value) was conducted in English or if the applicant is a native speaker of English this also qualifies as sufficient proof of English proficiency. Proof of native speaker level proficiency must be provided to the Foreign Languages Centre of the JGU by the end of the first semester of studies at the latest. If the proof is not submitted within the deadline then admission will be refused. Examination regulations for the Master's in International Economics and Public Policy 4 (3) In addition a letter of motivation written in English (max. one page) and a CV written in English in tabular form (max. two pages) should be submitted with the application. (4) A further requirement for admission to the Master's in International Economics and Public Policy is that the applicant still has the examination entitlement for this degree course. An appropriate declaration must be presented in accordance with § 10 paragraph 2 section 1 No. 1 and 2; § 10 paragraph 3 section 1 No. 4 and 5 respectively are applicable. (5) If the number of applications that fulfil the admission requirements in paragraph 2 to 3 exceeds the number of study places a special selection procedure will take place. The selection procedure is regulated by the university selection rules of the Johannes Gutenberg University. (6) If proof of having achieved a Bachelor's degree as per paragraph 2 number 1 is not available by the end of the application period the applicant may submit proof of completed exams and academic achievements amounting to at least 135 credit points issued by the responsible institution of higher education or on the basis of preliminary certificate of recognition of the JGU for foreign degrees. If the course is subject to admission restrictions the provisions of the current version of the university selection rules and the regulations for foreign students must be observed; in this case the final result of the Bachelor's degree will not be considered for the selection procedure. If an applicant is selected based on the certification listed in section 1 admission is granted on condition that the degree certificate is presented within the period stated in the letter of acceptance.  If the certification is not presented by the deadline the admission will be cancelled. (7) Command of German is not required for the Master's in International Economics and Public Policy.,https://tinyurl.com/y8dbcqdw,selection by the HEI,Summer and Winter Semester,15.10.2018 - 16.02.2019,https://tinyurl.com/yb4jat9y,Abteilung Internationales Forum universitatis 2 55122 Mainz Tel.: 06131 39-22281 Fax: 06131 39-25548,international@international.uni-mainz.de,https://tinyurl.com/yclyau2n
https://tinyurl.com/ycrs4ylm,International Management (CEMS MIM),University of Cologne,Köln,English,2 years,Master of Science (Master of Science),,https://tinyurl.com/ycsdxoou,Bachelor's degree or equivalent subject-specific criteria language proficiency (English + 2nd foreign language)\; Selection criteria: Bachelor's degree grade GMAT (or equivalent) selection interview\; Application deadline: 15th May Further information on admission requirements: http:// www.wiso.uni-koeln.de/international-management.html,https://tinyurl.com/zzjqvdo,selection by the HEI,Winter Semester only,08.10.2018 - 01.02.2019 Semester period: 01.10.2017 - 31.03.2018,https://tinyurl.com/y9susdpe,Dezernat 9 Internationales Universitätsstr. 22a 50937 Köln,zulassung@verw.uni-koeln.de,https://tinyurl.com/ycfxjz2y
https://tinyurl.com/ybsdqspg,International Political Economy,University of Marburg,Marburg,English,4 semesters,Master of Science (Master of Science (Double Degree)),,,Aptitude assessment procedure,https://tinyurl.com/yaktuflm,open admission,Winter Semester only,15.10.2018 - 15.02.2019,https://tinyurl.com/y9e6zdup,Referat für Internationalsierung und Wissenschaftliche Kooperationen / International Office Deutschhausstrasse 11 + 13 35037 Marburg Tel.: 06421 28-26176 Fax: 06421 28-28998,kienle@uni-marburg.de,https://tinyurl.com/yadzserl
https://tinyurl.com/ya6naydk,Law and Economics,University of Hamburg,Hamburg,English,3 trimester,Master (European Master in Law and Economics),,,For details see,https://tinyurl.com/y8jehrzc,selection by the HEI,Winter Semester only,15.10.2018 - 02.02.2019,https://tinyurl.com/y8jehrzc,Abteilung Internationales Mittelweg 177 20148 Hamburg Tel.: 040 42838-7282 Fax: 040 42838-7028,international.office@verw.uni-hamburg.de,https://tinyurl.com/y86yle5c
https://tinyurl.com/ybmwan6b,Leadership and Change,Steinbeis University Berlin,Berlin,English,24 months,Master of Arts (Master of Arts),,http://www.steinbeis-iec.de/,Enquire at the relevant institute,http://www.steinbeis-iec.de/,open admission,Summer and Winter Semester,depending upon course of study - Enquire at SHB,https://tinyurl.com/ya5r45ck,,,
https://tinyurl.com/yaye3v3l,Life Science Economics and Policy,Munich University of Technology,Weihenstephan,English,4 semesters,Master of Science (Master of Science),,Please note the exceptions!,Passing the aptitude test,https://tinyurl.com/y8kysuq2,,Winter Semester only,01.10.2018 - 31.03.2019,http://www.mlsep.wzw.tum.de,International Center Arcisstraße 21 80333 München,internationalcenter@tum.de,https://tinyurl.com/ycdkjvy3
https://tinyurl.com/yatmyoaj,Management,Frankfurt School of Finance & Management,Frankfurt am Main,English,4 semesters,Master of Science (Master of Science),,3250000 EUR total,First university degree (Bachelor's or equivalent) Excellent written and spoken English skills (TOEFL min. 90 iBT or equivalent) GMAT score report (preferred) GRE or Frankfurt School Admission Test Successful participation in our admission interview,https://tinyurl.com/ycg6yvhw,open admission,Summer and Winter Semester,31.08.2017 - 12.01.2018 Course only starts in winter semester,https://tinyurl.com/yadu4wyp,International Office Adickesallee 32-34 60322 Frankfurt Tel.: 069 154008-160 Fax: 069 154008-4160,e.sommerfeld@fs.de,https://tinyurl.com/yd3egljt
https://tinyurl.com/yca9sn2v,Management and Economics,Eberhard Karls University Tübingen,Tübingen,English,3 semesters,Master (Master of Science),,https://tinyurl.com/y9v4ukpc,Deviating application deadline for the first specialisation semester: already on 15.05.,https://tinyurl.com/y87t4fco,selection by the HEI,Winter Semester only,15.10.2018 - 09.02.2019,https://tinyurl.com/y9f328yd,Internationale Angelegenheiten Wilhelmstr. 9 72074 Tübingen Tel.: 07071 29-72938 Fax: 07071 29-5404,wolfgang.mekle@uni-tuebingen.de,https://tinyurl.com/y7nh6xb3
https://tinyurl.com/y8s57mhs,Management/business administration,Kühne Logistics University - University for Logistics and Company Management,Hamburg,English,4 semesters,Master of Science in Management (Master of Science),,598000 EUR per semester,Successfully completed Bachelor's degree in the field of Economic Sciences or related disciplines with economic content. Very good command of English,https://tinyurl.com/yclgf5qk,,Winter Semester only,01.09.2018 - 20.12.2018 Master of Science in International Maritime Law and Logistics begins in the first semester on 01.10.2018,https://tinyurl.com/yclgf5qk,International Office Großer Grasbrook 17 20457 Hamburg Tel.: 040 328707-142 Fax: 040 328707-109,exchange@the-klu.org,https://tinyurl.com/y8egkowy
https://tinyurl.com/yano343g,Master in Automotive Management,EBS University of Business and Law,Wiesbaden,English,3 semesters,Master of Science (Master of Science),,795000 EUR per semester,- Proof of a Bachelor's degree or a degree recognised as equivalent with at least 180 ECTS - Work placement or professional experience of at least 10 weeks - Proof of very good command of English (TOEFL IELTS or comparable test) - Valid GMAT GRE or EBScore - Passing the oral selection procedure (PMA - Personal Master's Assessment),https://tinyurl.com/yby7mvvc,,Winter Semester only,27.08.2018 - 26.08.2019 This information refers to a study year at EBS.,https://tinyurl.com/ybzf7hjs,International Programmes Schloß Reichartshausen 65375 Oestrich-Winkel Tel.: 0611 7102 00,info@ebs.de,https://tinyurl.com/yc37pjuj
https://tinyurl.com/yd9ms3lj,Master in Finance,EBS University of Business and Law,Wiesbaden,English,3 semesters,Master of Science (Master of Science),,795000 EUR per semester,- Proof of a Bachelor's degree or a degree recognised as equivalent with at least 180 ECTS - Work placement or professional experience of at least 10 weeks - Proof of very good command of English (TOEFL IELTS or comparable test) - Valid GMAT GRE or EBScore - Passing the oral selection procedure (PMA - Personal Master's Assessment),https://tinyurl.com/y7z3bbs5,,Winter Semester only,27.08.2018 - 26.08.2019 This information refers to a study year at EBS.,https://tinyurl.com/y7z3bbs5,International Programmes Schloß Reichartshausen 65375 Oestrich-Winkel Tel.: 0611 7102 00,info@ebs.de,https://tinyurl.com/yc37pjuj
https://tinyurl.com/yc87pwbk,Master in Management,EBS University of Business and Law,Wiesbaden,English,3 semesters,Master of Science (Master of Science),,795000 EUR per semester,- Proof of a Bachelor's degree or a degree recognised as equivalent with at least 180 ECTS - Work placement or professional experience of at least 10 weeks - Proof of very good command of English (TOEFL IELTS or comparable test) - Valid GMAT GRE or EBScore - Passing the oral selection procedure (PMA - Personal Master's Assessment),https://tinyurl.com/y8xmvyrq,,Winter Semester only,27.08.2018 - 26.08.2019 This information refers to a study year at EBS.,https://tinyurl.com/y8xmvyrq,International Programmes Schloß Reichartshausen 65375 Oestrich-Winkel Tel.: 0611 7102 00,info@ebs.de,https://tinyurl.com/yc37pjuj
https://tinyurl.com/yathvqx2,Master in Management,ESMT European School of Management and Technology,Berlin,English,4 semesters,Master of Science (Master of Science),,2500000 EUR total,A first professionally qualifying university degree is required as well as analytical skills for quantitative specialisations. A very good GMAT (or GRE) result as well as proof of command of English (TOEFL or a comparable test). No more than 18 months of professional experience.,https://tinyurl.com/ya2hn68h,open admission,Winter Semester only,Enquire at the university,http://www.esmt.org/mim,,,
https://tinyurl.com/y9usdjoo,Master in Real Estate,EBS University of Business and Law,Wiesbaden,English,3 semesters,Master of Science (Master of Science),,795000 EUR per semester,- Proof of a Bachelor's degree or a degree recognised as equivalent with at least 180 ECTS - Work placement or professional experience of at least 10 weeks - Proof of very good command of English (TOEFL IELTS or comparable test) - Valid GMAT GRE or EBScore - Passing the oral selection procedure (PMA - Personal Master's Assessment),https://tinyurl.com/ydavs2eh,,Winter Semester only,27.08.2018 - 26.08.2019 This information refers to a study year at EBS.,https://tinyurl.com/ydavs2eh,International Programmes Schloß Reichartshausen 65375 Oestrich-Winkel Tel.: 0611 7102 00,info@ebs.de,https://tinyurl.com/yc37pjuj
https://tinyurl.com/yawfpqat,MBA in International Management,ESCP European School of Management in Berlin,Berlin,English,1 year,Master of Business Administration (MBA) (Master of Business Administration),,3200000 EUR total,,,,Winter Semester only,Individually regulated for each course of study.,https://tinyurl.com/ybhl8jpe,,,
https://tinyurl.com/ydg5cl3d,Modern East Asian Studies,University of Duisburg-Essen,Duisburg,English,2 semesters,Master of Arts (Master of Arts),,https://tinyurl.com/kldncnu,Regional Studies BA or BA in Economics or Social Science with good command of an East-Asian language (Chinese Japanese Korean) with an overall grade of at least 2.5; command of English at level C1 in accordance with the CEFR European Reference Framework; aptitude assessment test (internal application procedure) deadline for EU citizens is 15.09. for non-EU citizens 15.07. Aptitude test required - earlier application deadlines may be specified! Information and deadlines are provided by the responsible faculty,https://tinyurl.com/ybgxyr75,open admission,Winter Semester only,09.10.2017 - 02.02.2018 The dates are inclusive of the first and last day specified.,https://tinyurl.com/y7p735dn,Akademisches Auslandsamt / Campus Essen Universitätsstrasse 2 45141 Essen Tel.: 0201 183-4128 Fax: 0201 183-2257,essen-io@uni-due.de,https://tinyurl.com/ycnoxlc7
https://tinyurl.com/y8ghypa6,Money and Finance,Frankfurt University,Frankfurt am Main,English,4 semesters,Master of Science (Master of Science),,,Bachelor's degree in economics or a related discipline. Please ask the university directly for other requirements.,,selection by the HEI,Winter Semester only,15.10.2018 - 15.02.2019,https://tinyurl.com/y8gv6kcm,International Office Grüneburgplatz 1 60323 Frankfurt Tel.: 069 798-3838,international@uni-frankfurt.de,https://tinyurl.com/y7cpzm5a
https://tinyurl.com/ybuc87kr,National/political economics,Humboldt University Berlin,Berlin,English,4 semesters,Master's (Master of Science),,,Degree in economics or in a related subject; specialised competence in a field of economics equivalent to at least 60 ECTS credits; special knowledge in empirical methods equivalent to 24 ECTS; special language proficiency: command of English at a level comparable to minimum level C1; special language proficiency: command of German at least at level B1.,,selection by the HEI,Winter Semester only,15.10.2018 - 16.02.2019,https://tinyurl.com/y7hksof4,International Office/Internationales Büro Unter den Linden 6 10099 Berlin Tel.: 030 2093-2565 Fax: 030 2093-2780,aia.leitung@uv.hu-berlin.de,https://tinyurl.com/ycncre92
https://tinyurl.com/ycbtfqe8,Operations Research and Business Analytics,University of Magdeburg,Magdeburg,English,4 semesters,Master (Master of Science),,,1. First academic degree (Bachelor Diploma etc.) in a relevant degree programme 2. Proof of English language proficiency 3. Letter of motivation in English,,selection by the HEI,Summer and Winter Semester,08.10.2018 - 25.01.2019,https://tinyurl.com/yafabv3j,Akademisches Auslandsamt Universitätsplatz 2 39106 Magdeburg Tel.: 0391 67-18515 Fax: 0391 67-11132,akaa@ovgu.de,https://tinyurl.com/yaabkgr5
https://tinyurl.com/yc6su66r,Philosophy Politics and Economics (PPE),Private University Witten/Herdecke gGmbH,Witten,English,4 semesters,Master of Arts (Master of Arts),,https://tinyurl.com/ycx7lxya,A general higher education entrance qualification or an equivalent qualification and proof of a professionally qualifying degree (Bachelor's Diplom State Examination or equivalent) must be provided for the degree course.,https://tinyurl.com/y7q7fl43,,Winter Semester only,01.04.2018 - 30.09.2018 For information on semester and lecture periods visit: https://www.uni-wh.de/fileadmin/user_upload/02_Studium/00_Allgemein/UWH_Semesterzeiten.pdf,https://tinyurl.com/ycrpj5cf,International Office Alfred-Herrhausen-Straße 50 58448 Witten Tel.: 02302 926-520 Fax: 02302 926-587,international-incoming@uni-wh.de,https://tinyurl.com/ycnu8gn3
https://tinyurl.com/y7qjs4eh,Political Economics/Economics,University of Münster,Münster,English,4 semesters,Master (Master of Science),,,,,selection by the HEI,Summer and Winter Semester,01.10.2018 - 25.01.2019,https://tinyurl.com/y797tmct,International Office Schlossplatz 3 48149 Münster Tel.: 0251 83-22215 Fax: 0251 83-22226,international.office@uni-muenster.de,https://tinyurl.com/yce4x3ek
https://tinyurl.com/ybpy2fsy,Political Economy,University of Konstanz,Konstanz,English,4 semesters,Master (Master of Science),,https://tinyurl.com/y73sv7sr,You will need an above-average Bachelor's degree in business administration/economics or political science proof of credits in mathematics statistics economics or political science English language skills (demonstrated by a language test such as Cambridge Certificate of Proficiency in English IELTS or TOEFL) a CV with a letter of motivation and two letters of recommendation from university professors. We will gladly receive your application even if you have not yet obtained your Bachelor's certificate. Please see our website for all the admission requirements.,https://tinyurl.com/ybocs6oa,selection by the HEI,Winter Semester only,22.10.2018 - 16.02.2019,https://tinyurl.com/ybrycrra,International Office Universitätsstraße 10 78457 Konstanz Tel.: 07531 88-3089 Fax: 07531 88-3037,international@uni-konstanz.de,https://tinyurl.com/y7rxxxyw
https://tinyurl.com/y9g3x4a9,Political Sciences,University of Cologne,Köln,English,4 semesters,Double Master's degree (Master of Arts),,https://tinyurl.com/ycsdxoou,An excellent Bachelor's degree in Social Sciences or the Humanities with strong proficiency in Political and Social Sciences; Outstanding academic achievements; Excellent English language skills; Very good intercultural and social skills and relevant practical experience,https://tinyurl.com/y7uhraow,selection by the HEI,Winter Semester only,08.10.2018 - 01.02.2019 Semester period: 01.10.2017 - 31.03.2018,https://tinyurl.com/yce2p3rw,Dezernat 9 Internationales Universitätsstr. 22a 50937 Köln,zulassung@verw.uni-koeln.de,https://tinyurl.com/ycfxjz2y
https://tinyurl.com/ycyqqgv3,Politics Economics Philosophy,University of Hamburg,Hamburg,English,4 semesters,Master of Science (Master of Science),,,Note different application deadlines!! Application deadline for the winter semester: 15 February to 31 March every year Application period: 15.02. - 31.03.! Note different application deadlines!! Application deadline for the winter semester: 15 February to 31 March every year First degree qualifying you to enter a profession; For details see,https://tinyurl.com/y8ogazof,selection by the HEI,Winter Semester only,15.10.2018 - 02.02.2019,https://tinyurl.com/y8ogazof,Abteilung Internationales Mittelweg 177 20148 Hamburg Tel.: 040 42838-7282 Fax: 040 42838-7028,international.office@verw.uni-hamburg.de,https://tinyurl.com/y86yle5c
https://tinyurl.com/ya7yfdpc,Public Policy (Political Science),University of Erfurt,Erfurt,English,4 semesters,Master of Public Policy (Master of Public Policy),,150000 EUR per semester,General or subject-restricted higher education entrance qualification or an equivalent international qualification for admission to higher education; Completed degree comprising at least 6 semesters or achievement of the required aptitude professionally or in some other way; Above-average achievements in the degree and/or profession; Analytical skills and pronounced interest in political issues and a management role in addition to practical experience in a related professional field; At least 1 year of professional employment in a relevant field of Public Policy Very good command of written and spoken English The prerequisites for applying to the Master of Public Policy programme are higher education entrance qualification (i.e. high school diploma Abitur) college or university degree (Bachelor Master Diplom Staatsexamen [state examination] etc.) with a minimum duration of 6 semesters above-average grades or professional performance analytical talent and pronounced interest in political problems very good English language proficiency (TOEFL: Paper test: 577 or above computer test: 233 or above Internet test: 90 or above; IELTS: 6.5 or above; Cambridge Certificate of Proficiency in English: A or B),https://tinyurl.com/y96r2fuq,open admission,Winter Semester only,15.10.2018 - 09.02.2019,https://tinyurl.com/y7slus5s,Internationales Büro Nordhäuser Straße 63 99089 Erfurt Tel.: 0361 737-5030 Fax: 0361 737-5039,international@uni-erfurt.de,http://www.uni-erfurt.de/
https://tinyurl.com/y7tzzalc,Quantitative Economics,Kiel University,Kiel,English,4 semesters,Single-subject Master's course (Master of Science),,,- Relevant Bachelor's degree or a comparable degree with a minimum grade of 2.5 or ECTS grade 'C' - Further specific requirements are defined in the examination regulations/academic qualification articles - Course commencement in the winter semester is recommended.,https://tinyurl.com/n9mcfd3,open admission,Summer and Winter Semester,15.10.2018 - 18.02.2019,https://tinyurl.com/y74fvz8x,International Center Westring 400 24118 Kiel Tel.: 0431 880-3715 Fax: 0431 880-1666,mschmode@uv.uni-kiel.de,https://tinyurl.com/ydhlb7bj
https://tinyurl.com/y7rhbpq2,Quantitative Economics,Ludwig Maximilians University Munich,München,English,4 semesters,Master of Science (Master of Science),,https://tinyurl.com/y7t22cgv,,,,Winter Semester only,09.04.2018 - 14.07.2018,https://tinyurl.com/ycx2ph6l,Internationale Angelegenheiten (Referat III.3) Geschwister-Scholl Platz 1 80539 München Tel.: 089 2180-2823 Fax: 089 2180-3136,international@lmu.de,https://tinyurl.com/ydx55rb6
https://tinyurl.com/yd2etndl,Quantitative Economics Quantitative Finance Quantitative Management Quantitative Marketing Law and Quantitative Economics,Frankfurt University,Frankfurt am Main,English,4 semesters,Master of Science (Master of Science),,,Bachelor's degree in economics or a related discipline. Please ask the university directly for other requirements.,,selection by the HEI,Winter Semester only,15.10.2018 - 15.02.2019,https://tinyurl.com/yaonjdus,International Office Grüneburgplatz 1 60323 Frankfurt Tel.: 069 798-3838,international@uni-frankfurt.de,https://tinyurl.com/y7cpzm5a
https://tinyurl.com/ya8vmlmy,Renewable Energy Engineering and Management,University of Freiburg,Freiburg,English,4 semesters,Master of Science (Master of Science),,,Admission requirement and selection criteria according to selection statutes: Application deadline: 15 May Bachelor of Science Diplom in Natural Engineering or Applied Environmental Science,https://tinyurl.com/y73pvuc7,selection by the HEI,Winter Semester only,15.10.2018 - 09.02.2019,https://tinyurl.com/y7ej9nte,International Office/Büro für Internationale Beziehungen Fahnenbergplatz 79085 Freiburg Tel.: 0761 203-4375 Fax: 0761 203-4377,katharina.aly@io.uni-freiburg.de,http://www.io.uni-freiburg.de
https://tinyurl.com/yafmkcfl,Social and Economic Data Analysis,University of Konstanz,Konstanz,English,4 semesters,Master (Master of Science),,https://tinyurl.com/y73sv7sr,You will need an above-average Bachelor's degree in business administration/economics mathematics statistics political science computer science sociology or psychology proof of credits in three of our Foundation of Data Analysis courses English language skills (demonstrated by a language test such as Cambridge Certificate of Proficiency in English IELTS or TOEFL) a CV with a letter of motivation and two letters of recommendation from university professors. We will gladly receive your application even if you have not yet obtained your Bachelor's certificate. Please see our website for all the admission requirements.,https://tinyurl.com/y8vbzcc7,selection by the HEI,Winter Semester only,22.10.2018 - 16.02.2019,https://tinyurl.com/ya962szq,International Office Universitätsstraße 10 78457 Konstanz Tel.: 07531 88-3089 Fax: 07531 88-3037,international@uni-konstanz.de,https://tinyurl.com/y7rxxxyw
https://tinyurl.com/ydgdzhoe,Sport Management,Sports University of Cologne,Köln,English,4 semesters,Master of Science (Master of Science),,,https://tinyurl.com/yc7k7jd5,https://tinyurl.com/yc7k7jd5,selection by the HEI,Winter Semester only,08.10.2018 - 01.02.2019,https://tinyurl.com/y9sfvy5q,International Office (Abteilung der Stabsstelle Akademische Planung und Steuerung) Am Sportpark Müngersdorf 6 50933 Köln Tel.: 0221 4982-2160 Fax: 0221 4982-8120,international@dshs-koeln.de,https://tinyurl.com/ychdgn2g
